titolo,sorgente,pubDate,ISODate,URL
[Dipartimento delle attività produttive] Decreto Dirigenziale,Dipartimento delle attività produttive,"Fri, 08 Mar 2019 02:00:00 +0100",20190308,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d94d25c329e2d945b9b0feef2deb1ebff9.e38Oc3ePbx4Kc40LaxmSc30Rah4Le0&amp;stepNews=det_news&amp;idNews=198399855
[Il Presidente] 8 marzo Donne gratis nei musei siciliani,Il Presidente,"Thu, 07 Mar 2019 12:00:00 +0100",20190307,http://pti.regione.sicilia.it/portal/page/portal/837D57136227112DE050060A01020EFD
[La Regione informa] Protocollo Regione Polizia,La Regione informa,"Thu, 07 Mar 2019 12:00:00 +0100",20190307,http://pti.regione.sicilia.it/portal/page/portal/83843B94D649C987E050060A02021A55
[La Regione informa] Risorse per aggiornare piani emergenza,La Regione informa,"Thu, 07 Mar 2019 12:00:00 +0100",20190307,http://pti.regione.sicilia.it/portal/page/portal/837FE88C182F4DD7E050060A020267AB
[La Regione informa] 16 aziende siciliane a Foodex Japan,La Regione informa,"Thu, 07 Mar 2019 12:00:00 +0100",20190307,http://pti.regione.sicilia.it/portal/page/portal/837FDCEB270592C8E050060A02022DDF
"[La Regione informa] Messina, rilevamento satellitare per Altolia",La Regione informa,"Thu, 07 Mar 2019 12:00:00 +0100",20190307,http://pti.regione.sicilia.it/portal/page/portal/837D3DAB55C63EF1E050060A020217D8
"[Dipartimento del turismo, dello sport e dello spettacolo] Area 2 - Sviluppo, analisi, bilancio, attivazione finanziamenti U.E.","Dipartimento del turismo, dello sport e dello spettacolo","Thu, 07 Mar 2019 02:00:00 +0100",20190307,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do&amp;stepNews=det_news&amp;idNews=198396822
[Dipartimento del lavoro] Servizio III - Nota prot. n. 12965 del 06/03/2019,Dipartimento del lavoro,"Thu, 07 Mar 2019 02:00:00 +0100",20190307,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do&amp;stepNews=det_news&amp;idNews=198397824
"[Dipartimento dell'ambiente] Società C&C Engineering s.r.l. - Convocazione Conferenza di Servizi decisoria del 12 marzo 2019 per il rilascio del Provvedimento Autorizzatorio Unico Regionale,",Dipartimento dell'ambiente,"Thu, 07 Mar 2019 02:00:00 +0100",20190307,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do&amp;stepNews=det_news&amp;idNews=198396311
"[Dipartimento del turismo, dello sport e dello spettacolo] Area 2 - Sviluppo, analisi, bilancio, attivazione finanziamenti U.E.","Dipartimento del turismo, dello sport e dello spettacolo","Thu, 07 Mar 2019 02:00:00 +0100",20190307,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d94d25c329e2d945b9b0feef2deb1ebff9.e38Oc3ePbx4Kc40LaxmSc30Rah4Le0&amp;stepNews=det_news&amp;idNews=198396822
[Dipartimento del lavoro] Servizio III - Nota prot. n. 12965 del 06/03/2019,Dipartimento del lavoro,"Thu, 07 Mar 2019 02:00:00 +0100",20190307,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d94d25c329e2d945b9b0feef2deb1ebff9.e38Oc3ePbx4Kc40LaxmSc30Rah4Le0&amp;stepNews=det_news&amp;idNews=198397824
"[Dipartimento dell'ambiente] Società C&C Engineering s.r.l. - Convocazione Conferenza di Servizi decisoria del 12 marzo 2019 per il rilascio del Provvedimento Autorizzatorio Unico Regionale,",Dipartimento dell'ambiente,"Thu, 07 Mar 2019 02:00:00 +0100",20190307,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d94d25c329e2d945b9b0feef2deb1ebff9.e38Oc3ePbx4Kc40LaxmSc30Rah4Le0&amp;stepNews=det_news&amp;idNews=198396311
